"Achilles","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Achilles_","0005","Achilles_0005","","","","Гей, хлопче.","","",""
"Integrated","Achilles_","0006","Achilles_0006","","","","Ти повернувся.","","",""
"Integrated","Achilles_","0007","Achilles_0007","","","","Ви повернулися.","","",""
"Integrated","Achilles_","0008","Achilles_0008","","","","Хвильку, хлопче?","","",""
"Integrated","Achilles_","0009","Achilles_0009","","","","Мої вітання.","","",""
"Darren","Achilles_","0042","Achilles_0042","","","","Так, хлопче?","","",""
"Darren","Achilles_","0043","Achilles_0043","","","","От і все, хлопче.","","",""
"Darren","Achilles_","0044","Achilles_0044","","","","Загрею?","","",""
"Darren","Achilles_","0045","Achilles_0045","","","","Тобі щось потрібно?","","",""
"Darren","Achilles_","0046","Achilles_0046","","","","Скажіть мені, що я можу зробити.","","",""
"Darren","Achilles_","0047","Achilles_0047","","","","Про що думаєте.","","",""
"Darren","Achilles_","0048","Achilles_0048","","","","Чим можу підсобити?","","",""
"Darren","Achilles_","0049","Achilles_0049","","","","Звісно.","","",""
"Darren","Achilles_","0050","Achilles_0050","","","","Чудово.","","",""
"Darren","Achilles_","0051","Achilles_0051","","","","Вважайте, що вже зроблено.","","",""
"Darren","Achilles_","0052","Achilles_0052","","","","Дуже добре.","","",""
"Darren","Achilles_","0053","Achilles_0053","","","","Я думав про те саме.","","",""
"Darren","Achilles_","0054","Achilles_0054","","","","Зроблю усе можливе.","","",""
"Darren","Achilles_","0055","Achilles_0055","","","","Без проблем.","","",""
"Darren","Achilles_","0056","Achilles_0056","","","","Звичайно.","","",""
"Darren","Achilles_","0057","Achilles_0057","","","","Це можна влаштувати.","","",""
"Darren","Achilles_","0058","Achilles_0058","","","","Дійсно.","","",""
"Integrated","Achilles_","0059","Achilles_0059","","","","Хмм.","","",""
"Integrated","Achilles_","0060","Achilles_0060","","","","Бережи себе.","","",""
"Integrated","Achilles_","0061","Achilles_0061","","","","Будьте сильним.","","",""
"Integrated","Achilles_","0062","Achilles_0062","","","","Принце.","","",""
"Integrated","Achilles_","0063","Achilles_0063","","","","Ваша Високосте.","","",""
"Darren","Achilles_","0073","Achilles_0073","","","","Дякую, що подумав про мене хлопче. А зараз, у мене є дещо і для тебе. Це дрібничка, якщо чесно, проте, я подумав, що вона могла б бути корисною час від часу.","","",""
"Darren","Achilles_","0074","Achilles_0074","","","","Ви шануєте мене. І я вшаную вас. Лорде Загрею, Бог крові, я бажаю щоб ви прийняли це скромне підношення від мого імені, і нехай наша дружба житиме до кінця часів.","","",""
"Darren","Achilles_","0079","Achilles_0079","","","","Хм. Так. Я був необачним.... Але, ти мав би бути вельми шанованим воїном у свої смертні дні, Скеллі.","","",""
