"Aphrodite","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Aphrodite_","0038","Aphrodite_0038","","","Матеріальні блага ніколи не завоюють моєї уваги, любчику, але: це допоможе! Ось, поки ми розщедрилися, я дам тобі щось натомість.","","",""
"Darren","Aphrodite_","0039","Aphrodite_0039","","","Підношення насичене твоєю прихильністю, малий божку? Я точно це вип'ю за першої ж нагоди; і я хочу щоб ти взяв дещо від мене.","","",""
"Darren","Aphrodite_","0043","Aphrodite_0043","","","Твому гідному обличчю, Леді Афіно, я б адресувала лише найдобріші та найщиріші компліменти! А що ж іще?","","",""
"Integrated","Aphrodite_","0075","Aphrodite_0075","","","Тобі це сподобається!","","",""
"Integrated","Aphrodite_","0076","Aphrodite_0076","","","Хто сміє погрожувати мому маленькому божку?","","",""
"Integrated","Aphrodite_","0077","Aphrodite_0077","","","Залиш це мені, любчику!","","",""
"Darren","Aphrodite_","0080","Aphrodite_0080","","","Вітаю, маленький божку!","","",""
"Integrated","Aphrodite_","0081","Aphrodite_0081","","","Приємно тебе бачити, гм?","","",""
"Darren","Aphrodite_","0082","Aphrodite_0082","","","Будь відважним, любчику!","","",""
"Integrated","Aphrodite_","0083","Aphrodite_0083","","","Глянь но на себе, хм-хм.","","",""
"Integrated","Aphrodite_","0084","Aphrodite_0084","","","Ох добре, от ми й зустрілися знову!","","",""
"Darren","Aphrodite_","0085","Aphrodite_0085","","","Бездоганно, любчику.","","",""
"Darren","Aphrodite_","0086","Aphrodite_0086","","","З задоволенням.","","",""
"Integrated","Aphrodite_","0087","Aphrodite_0087","","","З превеликим задоволенням!","","",""
"Integrated","Aphrodite_","0088","Aphrodite_0088","","","Звучить непогано.","","",""
"Darren","Aphrodite_","0089","Aphrodite_0089","","","Прекрасно.","","",""
"Integrated","Aphrodite_","0090","Aphrodite_0090","","","Я вдячна, любчику.","","",""
"Integrated","Aphrodite_","0091","Aphrodite_0091","","","Як люб'язно.","","",""
"Integrated","Aphrodite_","0092","Aphrodite_0092","","","Дякую, кицю!","","",""
"Integrated","Aphrodite_","0093","Aphrodite_0093","","","Та не варто було!","","",""
"Integrated","Aphrodite_","0094","Aphrodite_0094","","","Я цього не забуду, найближчим часом так точно!","","",""
"Integrated","Aphrodite_","0095","Aphrodite_0095","","","Я дуже сильно це ціную.","","",""
"Integrated","Aphrodite_","0096","Aphrodite_0096","","","Мені дуже приємно!","","",""
"Darren","Aphrodite_","0097","Aphrodite_0097","","","Зачекай, я для тебе дещо маю!","","",""
"Darren","Aphrodite_","0098","Aphrodite_0098","","","В мене є щось для тебе, любчику.","","",""
"Darren","Aphrodite_","0099","Aphrodite_0099","","","Символ моєї любові.","","",""
"Darren","Aphrodite_","0100","Aphrodite_0100","","","Є дещо, що я б хотіла тобі дати.","","",""
"Darren","Aphrodite_","0101","Aphrodite_0101","","","Ти це заслужив, любчику.","","",""
"Darren","Aphrodite_","0102","Aphrodite_0102","","","Ох, хохохо, ні.","","",""
"Darren","Aphrodite_","0103","Aphrodite_0103","","","Як це розчаровує, ну чесно.","","",""
"Integrated","Aphrodite_","0104","Aphrodite_0104","","","Коли ж вони навчаться?","","",""
"Darren","Aphrodite_","0105","Aphrodite_0105","","","Не слід мені було очікувати більшого.","","",""
"Darren","Aphrodite_","0106","Aphrodite_0106","","","Усі ми, час від часу, робимо помилки.","","",""
"Darren","Aphrodite_","0107","Aphrodite_0107","","","Ну, вийшло не дуже.","","",""
"Integrated","Aphrodite_","0108","Aphrodite_0108","","","Краще мене не злити.","","",""
"Darren","Aphrodite_","0109","Aphrodite_0109","","","Ах ти малий...!","","",""
"Integrated","Aphrodite_","0110","Aphrodite_0110","","","Ти неможливий!","","",""
"Integrated","Aphrodite_","0111","Aphrodite_0111","","","Що на тебе найшло?","","",""
"Integrated","Aphrodite_","0112","Aphrodite_0112","","","Ти справді смієш?","","",""
"Integrated","Aphrodite_","0113","Aphrodite_0113","","","Цілковита безглуздість.","","",""
"Integrated","Aphrodite_","0114","Aphrodite_0114","","","Злити мене не раджу.","","",""
"Darren","Aphrodite_","0115","Aphrodite_0115","","","Не зараз, кицю, я зайнята.","","",""
"Darren","Aphrodite_","0116","Aphrodite_0116","","","Я не маю на це часу.","","",""
"Darren","Aphrodite_","0117","Aphrodite_0117","","","Киш, зараз я не зацікавлена.","","",""
"Darren","Aphrodite_","0118","Aphrodite_0118","","","Справді?","","",""
"Darren","Aphrodite_","0119","Aphrodite_0119","","","Справді...?","","",""
"Darren","Aphrodite_","0120","Aphrodite_0120","","","Неочікувано.","","",""
"Darren","Aphrodite_","0121","Aphrodite_0121","","","Як таке може бути!","","",""
"Integrated","Aphrodite_","0122","Aphrodite_0122","","","Щооооо?","","",""
"Darren","Aphrodite_","0123","Aphrodite_0123","","","Що...?","","",""
"Darren","Aphrodite_","0124","Aphrodite_0124","","","Не можу в це повірити!","","",""
"Darren","Aphrodite_","0125","Aphrodite_0125","","","Не можу в це повірити...!","","",""
"Darren","Aphrodite_","0126","Aphrodite_0126","","","Це абсурд!","","",""
"Darren","Aphrodite_","0127","Aphrodite_0127","","","Це абсурд...!","","",""
"Darren","Aphrodite_","0128","Aphrodite_0128","","","Це було прекрасно!","","",""
"Integrated","Aphrodite_","0129","Aphrodite_0129","","","Ти така душенька.","","",""
"Integrated","Aphrodite_","0130","Aphrodite_0130","","","Як гарно.","","",""
"Darren","Aphrodite_","0131","Aphrodite_0131","","","Вражаюче!","","",""
"Darren","Aphrodite_","0132","Aphrodite_0132","","","Це було приголомшливо.","","",""
"Integrated","Aphrodite_","0160","Aphrodite_0160","","","Я знала, що у тебе чисте серце!","","",""
