"Chaos","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Chaos_","0023","Chaos_0023","","","","Так тому і бути.","","",""
"Integrated","Chaos_","0024","Chaos_0024","","","","Не бачу причини не робити цього.","","",""
"Integrated","Chaos_","0025","Chaos_0025","","","","Якщо це те чого ти бажаєш, тоді ми тут закінчили.","","",""
"Integrated","Chaos_","0026","Chaos_0026","","","","Дуже добре, О Сину Аїда.","","",""
"Integrated","Chaos_","0027","Chaos_0027","","","","Це прийнятно.","","",""
"Integrated","Chaos_","0028","Chaos_0028","","","","Я очікував, що ти зробиш цей вибір.","","",""
"Integrated","Chaos_","0029","Chaos_0029","","","","Буде зроблено.","","",""
"Integrated","Chaos_","0030","Chaos_0030","","","","Ну, тоді чом би й ні.","","",""
"Integrated","Chaos_","0031","Chaos_0031","","","","Має бути цікаво.","","",""
"Integrated","Chaos_","0032","Chaos_0032","","","","Тоді йди, Сину Аїда.","","",""
"Integrated","Chaos_","0033","Chaos_0033","","","","Мій знак буде з тобою.","","",""
"Integrated","Chaos_","0034","Chaos_0034","","","","Я ціную твій патронаж.","","",""
"Integrated","Chaos_","0035","Chaos_0035","","","","Ти це отримаєш.","","",""
"Darren","Chaos_","0036","Chaos_0036","","","","Не варте ризику, як я бачу?","","",""
"Darren","Chaos_","0037","Chaos_0037","","","","Можливо іншого разу.","","",""
"Darren","Chaos_","0038","Chaos_0038","","","","Я повністю розумію.","","",""
"Integrated","Chaos_","0039","Chaos_0039","","","","Будь обережний, Сину Аїда.","","",""
"Integrated","Chaos_","0040","Chaos_0040","","","","Як обачно с твого боку.","","",""
"Darren","Chaos_","0041","Chaos_0041","","","","Ох, дуже добре.","","",""
"Darren","Chaos_","0042","Chaos_0042","","","","Ну що ж, на даний час, прощавай.","","",""
"Darren","Chaos_","0043","Chaos_0043","","","","Не робити вибір, все ще вибір.","","",""
"Integrated","Chaos_","0044","Chaos_0044","","","","Прийнятне рішення.","","",""
"Integrated","Chaos_","0045","Chaos_0045","","","","Роби те, що вважаєш за потрібне.","","",""
"Darren","Chaos_","0046","Chaos_0046","","","","Тоді, напевно, наступного разу.","","",""
"Darren","Chaos_","0047","Chaos_0047","","","","У тебе безперечно є свої причини.","","",""
"Darren","Chaos_","0093","Chaos_0093","","","","Якщо ж ти бажаєш передати мені таке підношення, тоді, я вірю що варто відповісти взаємністю. Ти безпомилково, цікавий персонаж, О Сину Аїда.","","",""
"Integrated","Chaos_","0096","Chaos_0096","","","","Надзвичайно цікаво.","","",""
"Integrated","Chaos_","0097","Chaos_0097","","","","Як неочікувано.","","",""
"Integrated","Chaos_","0098","Chaos_0098","","","","Як кумедно.","","",""
"Integrated","Chaos_","0099","Chaos_0099","","","","Смерть та відродження.","","",""
"Integrated","Chaos_","0100","Chaos_0100","","","","Як чудернацько.","","",""
"Integrated","Chaos_","0101","Chaos_0101","","","","Це було прикро.","","",""
"Integrated","Chaos_","0102","Chaos_0102","","","","Абсолютно нормальна смерть.","","",""
"Integrated","Chaos_","0110","Chaos_0110","","","","Я розумію.","","",""
"Integrated","Chaos_","0111","Chaos_0111","","","","Так тому і бути.","","",""
"Integrated","Chaos_","0112","Chaos_0112","","","","Дуже добре.","","",""
"Darren","Chaos_","0113","Chaos_0113","","","","Нехай буде по твоєму.","","",""
"Integrated","Chaos_","0114","Chaos_0114","","","","Звісно.","","",""
"Darren","Chaos_","0115","Chaos_0115","","","","Я вдячний.","","",""
"Darren","Chaos_","0116","Chaos_0116","","","","Дякую, Сину Аїда.","","",""
"Integrated","Chaos_","0117","Chaos_0117","","","","Це мене тішить.","","",""
"Darren","Chaos_","0118","Chaos_0118","","","","Я ціную жест.","","",""
"Darren","Chaos_","0119","Chaos_0119","","","","Дуже приємно.","","",""
"Darren","Chaos_","0120","Chaos_0120","","","","Я дякую тобі.","","",""
"Darren","Chaos_","0121","Chaos_0121","","","","Ти занадто щедрий.","","",""
"Integrated","Chaos_","0122","Chaos_0122","","","","В мене для тебе дещо є.","","",""
"Integrated","Chaos_","0123","Chaos_0123","","","","Це тобі.","","",""
"Integrated","Chaos_","0124","Chaos_0124","","","","Візьми це, разом з моєю вдячністю.","","",""
"Integrated","Chaos_","0125","Chaos_0125","","","","Невеличкий знак моєї прихильності.","","",""
"Integrated","Chaos_","0126","Chaos_0126","","","","Я хочу щоб у тебе було це.","","",""
"Integrated","Chaos_","0127","Chaos_0127","","","","Як передбачувано.","","",""
"Integrated","Chaos_","0128","Chaos_0128","","","","Абсолютно очікувано.","","",""
"Integrated","Chaos_","0129","Chaos_0129","","","","Неминучий результат.","","",""
"Integrated","Chaos_","0130","Chaos_0130","","","","Гадаю, це було неминуче.","","",""
"Integrated","Chaos_","0131","Chaos_0131","","","","Це був єдиний спосіб.","","",""
"Integrated","Chaos_","0132","Chaos_0132","","","","Це було не те, що я мав на увазі.","","",""
"Integrated","Chaos_","0133","Chaos_0133","","","","Обережніше зі мною, Сину Аїда.","","",""
"Integrated","Chaos_","0134","Chaos_0134","","","","Це було, мабуть, нерозумно.","","",""
"Darren","Chaos_","0135","Chaos_0135","","","","Ти забуваєшся у моїй присутності.","","",""
"Darren","Chaos_","0136","Chaos_0136","","","","Така поведінка, мене тут не хвилює.","","",""
"Darren","Chaos_","0137","Chaos_0137","","","","Краще не випробовувати мене таким чином.","","",""
"Darren","Chaos_","0138","Chaos_0138","","","","Не варто випробовувати межі моєї доброти.","","",""
"Integrated","Chaos_","0139","Chaos_0139","","","","Ти демонструєш невігластво.","","",""
"Darren","Chaos_","0140","Chaos_0140","","","","Я хочу побути на самоті, тож залиш мене у спокої.","","",""
"Unused","Chaos_","0141","Chaos_0141","","","","Я не бажаю щоб мене турбували, наразі.","","",""
"Unused","Chaos_","0142","Chaos_0142","","","","Не зловживай гостинністю, Сину Аїда.","","",""
"Integrated","Chaos_","0143","Chaos_0143","","","","Оце вже було неочікувано.","","",""
"Integrated","Chaos_","0144","Chaos_0144","","","","Ну, це досить дивно.","","",""
"Integrated","Chaos_","0145","Chaos_0145","","","","Вельми цікаво.","","",""
"Integrated","Chaos_","0146","Chaos_0146","","","","Це було досить дивно.","","",""
"Integrated","Chaos_","0147","Chaos_0147","","","","Досить несподівано.","","",""
"Integrated","Chaos_","0148","Chaos_0148","","","","Це похвально.","","",""
