"Demeter","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Demeter_","84","Demeter_0084","","","","Ріг Достатку що ти носиш, колись був переповнений. Звісно ж, певна сила ще таїться у ньому. Але більше ніколи смертні не сприйматимуть його як належне.","","",""
"Integrated","Demeter_","123","Demeter_0123","","","","Бійтеся зимового холоду!","","",""
"Integrated","Demeter_","124","Demeter_0124","","","","Пустка позбавлена життя!","","","Special Render"
"Integrated","Demeter_","125","Demeter_0125","","","","Скоро усе зав'яне!","","","Special Render"
"Integrated","Demeter_","126","Demeter_0126","","","","Замерзни!","","","Special Render"
"Integrated","Demeter_","127","Demeter_0127","","","","Я заберу усе!","","","Special Render"
"Integrated","Demeter_","128","Demeter_0128","","","","В них не залишиться нічого!","","","Special Render"
"Integrated","Demeter_","129","Demeter_0129","","","","Не шукай розради у лютого холоду!","","","Special Render"
"Integrated","Demeter_","130","Demeter_0130","","","","Тепер ти просиш мене про послугу?!","","","Special Render"
"Integrated","Demeter_","131","Demeter_0131","","","","Безмежна зухвалість молоді!","","","Special Render"
"Integrated","Demeter_","132","Demeter_0132","","","","Тремти та згний, мені байдуже!","","","Special Render"
"Integrated","Demeter_","133","Demeter_0133","","","","Я не терпітиму неповагу.","","",""
"Integrated","Demeter_","134","Demeter_0134","","","","Я тебе попереджала, не виступає проти мене, маленький паростку.","","",""
"Integrated","Demeter_","135","Demeter_0135","","","","Наступного разу, прояви повагу до старших, Загрею.","","",""
"Darren","Demeter_","136","Demeter_0136","","","","О, виглядає так що ти володієш формою Варати, відомою як Клинок Морозного Чуття! Отже, спис мандрував набагато далі, ніж я очікувала. Користуйся його силами ефективно, Загрею; скоро, як і пори року, він може тебе покинути.","","",""
"Integrated","Demeter_","163","Demeter_0163","","","","Мої вітання, маленький паростку.","","",""
"Integrated","Demeter_","164","Demeter_0164","","","","Мої вітання, Загрею.","","",""
"Integrated","Demeter_","165","Demeter_0165","","","","Вітаю, юний Загрею.","","",""
"Darren","Demeter_","166","Demeter_0166","","","","Не мерзнеш останнім часом, юний Загрею?","","",""
"Integrated","Demeter_","167","Demeter_0167","","","","Зима тебе вітає, Загрею.","","",""
"Darren","Demeter_","168","Demeter_0168","","","","Так тому і бути.","","",""
"Darren","Demeter_","169","Demeter_0169","","","","Взагалі не проблема, маленький паростку.","","",""
"Darren","Demeter_","170","Demeter_0170","","","","Ох, вельми добре.","","",""
"Integrated","Demeter_","171","Demeter_0171","","","","Ах, так, дійсно.","","",""
"Darren","Demeter_","172","Demeter_0172","","","","Ну тоді, добре.","","",""
"Integrated","Demeter_","173","Demeter_0173","","","","Я вдячна, Загрею.","","",""
"Integrated","Demeter_","174","Demeter_0174","","","","Моя тобі дяка.","","",""
"Integrated","Demeter_","175","Demeter_0175","","","","Як люб'язно, Загрею.","","",""
"Integrated","Demeter_","176","Demeter_0176","","","","Ой, велика дяка, маленький паростку.","","",""
"Darren","Demeter_","177","Demeter_0177","","","","Маю дещо для тебе, маленький паростку.","","",""
"Darren","Demeter_","178","Demeter_0178","","","","Я маю для тебе подарунок, юний Загрею.","","",""
"Darren","Demeter_","179","Demeter_0179","","","","Це була проста необачність, ось і все.","","",""
"Darren","Demeter_","180","Demeter_0180","","","","Це безумовно була помилка, Загрею.","","",""
"Darren","Demeter_","181","Demeter_0181","","","","Недалекоглядно, маленький паростку.","","",""
"Darren","Demeter_","182","Demeter_0182","","","","Не слід випробовувати моє терпіння, маленький паростку.","","",""
"Darren","Demeter_","183","Demeter_0183","","","","Це був надзвичайно нерозумний вибір.","","",""
"Darren","Demeter_","184","Demeter_0184","","","","Отже, ти врешті мене розлютив.","","",""
"Darren","Demeter_","185","Demeter_0185","","","","Згинь, малий Загрею.","","",""
"Darren","Demeter_","186","Demeter_0186","","","","Не зацікавлена, маленький паростку.","","",""
"Integrated","Demeter_","187","Demeter_0187","","","","Що це?","","",""
