"Dusa","ID","ID","ID","","","","Line","","","Notes by DK"
"Darren","Dusa_","0024","Dusa_0024","","","","Ч-чи можу чимось прислужити?","","",""
"Darren","Dusa_","0025","Dusa_0025","","","","Ч-чимось допомогти?","","",""
"Darren","Dusa_","0026","Dusa_0026","","","","В-ваша Високосте, що це?","","",""
"Darren","Dusa_","0027","Dusa_0027","","","","М-можу допомогти, Принце?","","",""
"Darren","Dusa_","0028","Dusa_0028","","","","Привіт, ем, Принце, вітаю!","","",""
"Darren","Dusa_","0029","Dusa_0029","","","","Ох, ем, так, авжеж!","","",""
"Darren","Dusa_","0031","Dusa_0031","","","","Од-одразу!","","",""
"Darren","Dusa_","0032","Dusa_0032","","","","Я можу це зробити, звичайно!","","",""
"Darren","Dusa_","0033","Dusa_0033","","","","Що, оу так, авжеж!","","",""
"Darren","Dusa_","0034","Dusa_0034","","","","В-ви можете на мене розраховувати!","","",""
"Darren","Dusa_","0035","Dusa_0035","","","","Я зараз же візьмусь за це, Принце!!","","",""
"Darren","Dusa_","0036","Dusa_0036","","","","Я, ем, буде зроблено?","","",""
"Darren","Dusa_","0037","Dusa_0037","","","","Безперечно, так!","","",""
"Darren","Dusa_","0038","Dusa_0038","","","","Я цим займусь, Принце...!","","",""
"Unused","Dusa_","0047","Dusa_0047","","","","О, ем, Принце, це неймовірно, справді, тут, я подумала, що може і я зможу вам щось дати, також...?","","",""
"Unused","Dusa_","0048","Dusa_0048","","","","Ог-го, Ваша Високосте, я в захваті, справді, і, я б хотіла ну дати вам це, ну від мене...","","",""
"Integrated","Dusa_","0049","Dusa_0049","","","","Уіі!","","",""
"Integrated","Dusa_","0050","Dusa_0050","","","","Ах!","","",""
"Integrated","Dusa_","0051","Dusa_0051","","","","Це він!","","",""
"Integrated","Dusa_","0052","Dusa_0052","","","","В-ваша Високосте!","","",""
"Integrated","Dusa_","0053","Dusa_0053","","","","<Зітхає>","","",""
"Integrated","Dusa_","0054","Dusa_0054","","","","Ой-йой!","","",""
"Integrated","Dusa_","0055","Dusa_0055","","","","Ох!","","",""
"Integrated","Dusa_","0056","Dusa_0056","","","","Шчоо--?","","",""
"Integrated","Dusa_","0057","Dusa_0057","","","","П-привіт!","","",""
"Integrated","Dusa_","0058","Dusa_0058","","","","Б, бувайте!","","",""
"Integrated","Dusa_","0059","Dusa_0059","","","","Хах, хаха!","","",""
"Integrated","Dusa_","0060","Dusa_0060","","","","Хах, хаха...!","","",""
"Integrated","Dusa_","0061","Dusa_0061","","","","Хах, хаха...","","",""
"Integrated","Dusa_","0106","Dusa_0106","","","","О, привіт!","","",""
"Integrated","Dusa_","0107","Dusa_0107","","","","Вітаю!","","",""
"Integrated","Dusa_","0108","Dusa_0108","","","","Вітаю!","","",""
"Integrated","Dusa_","0109","Dusa_0109","","","","Ось і ви!","","",""
"Integrated","Dusa_","0110","Dusa_0110","","","","Ви повернулись!","","",""
"Integrated","Dusa_","0111","Dusa_0111","","","","Це ви!","","",""
"Integrated","Dusa_","0112","Dusa_0112","","","","Привітулі!","","",""
"Integrated","Dusa_","0113","Dusa_0113","","","","Високосте!","","",""
"Integrated","Dusa_","0114","Dusa_0114","","","","Ти диви!","","",""
"Integrated","Dusa_","0115","Dusa_0115","","","","Принц власною персоною!","","",""
"Integrated","Dusa_","0116","Dusa_0116","","","","Овва!","","",""
"Integrated","Dusa_","0117","Dusa_0117","","","","Гей!","","",""
"Integrated","Dusa_","0106","Dusa_0106","","","","О, привіт!","","",""
"Integrated","Dusa_","0107","Dusa_0107","","","","Вітаю!","","",""
"Integrated","Dusa_","0108","Dusa_0108","","","","Вітаю!","","",""
"Integrated","Dusa_","0109","Dusa_0109","","","","Ось і ви!","","",""
"Integrated","Dusa_","0110","Dusa_0110","","","","Ви повернулись!","","",""
"Integrated","Dusa_","0111","Dusa_0111","","","","Це ви!","","",""
"Integrated","Dusa_","0112","Dusa_0112","","","","Привітулі!","","",""
"Integrated","Dusa_","0113","Dusa_0113","","","","Високосте!","","",""
"Integrated","Dusa_","0114","Dusa_0114","","","","Ти диви!","","",""
"Integrated","Dusa_","0115","Dusa_0115","","","","Принц власною персоною!","","",""
"Integrated","Dusa_","0116","Dusa_0116","","","","Овва!","","",""
"Integrated","Dusa_","0134","Dusa_0164","","","","О так, абсолютно! Дякую що запитали, Принце!","","",""
"Integrated","Dusa_","0166","Dusa_0166","","","","Може так і є!","","",""
"Integrated","Dusa_","0179","Dusa_0179","","","","Ви що, жартуєте? Ну звичайно!","","",""
"Integrated","Dusa_","0181","Dusa_0181","","","","Ей, слухайте, я розумію. Дійсно розумію.","","",""
"Integrated","Dusa_","0191","Dusa_0191","","","","Прибула як тільки змогла!","","",""
"Integrated","Dusa_","0192","Dusa_0192","","","","Потрібне прибирання?","","",""
"Integrated","Dusa_","0193","Dusa_0193","","","","Кликали, Принце Загрею?","","",""
"Integrated","Dusa_","0194","Dusa_0194","","","","Привітик, я тут, тууут!","","",""
"Integrated","Dusa_","0195","Dusa_0195","","","","Час зробити мою справу!","","",""
"Integrated","Dusa_","0196","Dusa_0196","","","","Час винести сміття!","","",""
"Integrated","Dusa_","0197","Dusa_0197","","","","Ваша подружка вже тут!","","",""
"Integrated","Dusa_","0198","Dusa_0198","","","","Горгону, Принце?","","",""
"Integrated","Dusa_","0199","Dusa_0199","","","","Горгона йде!!","","",""
"Integrated","Dusa_","0200","Dusa_0200","","","","Час стати статуєю!","","",""
"Integrated","Dusa_","0201","Dusa_0201","","","","Камня на камені не залишимо?!","","",""
"Integrated","Dusa_","0202","Dusa_0202","","","","Вриваюсь!","","",""
"Integrated","Dusa_","0203","Dusa_0203","","","","Хто хоче зчепитися?!","","",""
"Integrated","Dusa_","0204","Dusa_0204","","","","Прибула, так швидко як змогла!","","",""
"Integrated","Dusa_","0205","Dusa_0205","","","","Ви можете на мене розраховувати!","","",""
"Integrated","Dusa_","0206","Dusa_0206","","","","Я тут, Я - ось і я!","","",""
"Integrated","Dusa_","0207","Dusa_0207","","","","Не хвилюйтеся, я вас врятую!","","",""
"Integrated","Dusa_","0208","Dusa_0208","","","","Я тут, щоб врятувати вас!!","","",""
"Integrated","Dusa_","0209","Dusa_0209","","","","Це вже точно краще за миття підлоги!","","",""
"Integrated","Dusa_","0210","Dusa_0210","","","","Це мій шанс!!","","",""
"Integrated","Dusa_","0211","Dusa_0211","","","","Настав час сяяти!","","",""
"Integrated","Dusa_","0212","Dusa_0212","","","","Я сильніша ніж здається!","","",""
"Integrated","Dusa_","0213","Dusa_0213","","","","Буде зроблено, стрімко!","","",""
"Integrated","Dusa_","0214","Dusa_0214","","","","Я зараз же візьмусь за це, Принце!","","",""
"Integrated","Dusa_","0215","Dusa_0215","","","","Ви можете на мене розраховувати!","","",""
"Integrated","Dusa_","0216","Dusa_0216","","","","Ой вітаю, вибачте, пані Мег!","","",""
"Integrated","Dusa_","0217","Dusa_0217","","","","Я дійсно ненавиджу цю частину роботи, Пані Мег!","","",""
"Integrated","Dusa_","0218","Dusa_0218","","","","Пані Мег, мені так шкода!","","",""
"Integrated","Dusa_","0219","Dusa_0219","","","","Ем ще раз вітаю, Пані Мег!","","",""
"Integrated","Dusa_","0220","Dusa_0220","","","","Принце, це так грубо!!","","",""
"Integrated","Dusa_","0221","Dusa_0221","","","","Ви двоє, припиніть!","","",""
"Integrated","Dusa_","0222","Dusa_0222","","","","Ненавиджу коли ви б'єтеся!","","",""
"Integrated","Dusa_","0223","Dusa_0223","","","","Не може бути, Пані Мег?!","","",""
"Integrated","Dusa_","0224","Dusa_0224","","","","О, привітики, велика зміюко!","","",""
"Integrated","Dusa_","0225","Dusa_0225","","","","Подивіться на цю здоровенну стару зміюку!","","",""
"Integrated","Dusa_","0226","Dusa_0226","","","","Ого, ця штука здоровенна!","","",""
"Integrated","Dusa_","0227","Dusa_0227","","","","Ця велика зміюка докучає, Принце?","","",""
"Integrated","Dusa_","0228","Dusa_0228","","","","Я не боюся зміюк!","","",""
"Integrated","Dusa_","0229","Dusa_0229","","","","Я не боюся змій!! Це було б дивно.","","",""
"Integrated","Dusa_","0230","Dusa_0230","","","","Ого, цей хлопчина чималий!","","",""
"Integrated","Dusa_","0231","Dusa_0231","","","","Овва це ж Мінотавр!","","",""
