"Nyx","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Nyx_","0028","Nyx_0028","Inquiry Greetings","As though she's getting a call from a grandkid -- she'll drop whatever she's doing to help.","","Чим я можу тобі допомогти, дитино?","","",""
"Integrated","Nyx_","0029","Nyx_0029","","","","Я можу тобі чимось допомогти, дитино?","","",""
"Integrated","Nyx_","0030","Nyx_0030","","","","Я можу щось для тебе зробити, моє дитя?","","",""
"Integrated","Nyx_","0031","Nyx_0031","","","","Тебе щось тривожить, дитино?","","",""
"Darren","Nyx_","0033","Nyx_0033","","","","Можу бути корисною, моє дитя?","","",""
"Darren","Nyx_","0034","Nyx_0034","","","","Що я можу зробити, щоб полегшити твій тягар, дитино?","","",""
"Darren","Nyx_","0035","Nyx_0035","","","","Буде зроблено, дитино.","","",""
"Darren","Nyx_","0036","Nyx_0036","","","","Так тому і бути.","","",""
"Darren","Nyx_","0037","Nyx_0037","","","","Як забажаєш, моє дитя.","","",""
"Integrated","Nyx_","0038","Nyx_0038","","","","Я рада зобов'язатися.","","",""
"Integrated","Nyx_","0040","Nyx_0040","","","","Твоя вола буде виконана, моє дитя.","","",""
"Darren","Nyx_","0041","Nyx_0041","","","","Твоє бажання виконано, дитино.","","",""
"Darren","Nyx_","0042","Nyx_0042","","","","Дуже добре, моє дитя.","","",""
"Darren","Nyx_","0043","Nyx_0043","","","","Чую тебе, дитино.","","",""
"Darren","Nyx_","0044","Nyx_0044","","","","Звичайно, моє дитя.","","",""
"Integrated","Nyx_","0049","Nyx_0049","","","","Такий прекрасний подарунок, як цей, вимагає від мене взаємності, дороге дитя. Незалежно від цього, я хотіла б, вручити тобі знак своєї любові.","","",""
"Darren","Nyx_","0050","Nyx_0050","","","","Підношення, для мене, дороге дитя? Тоді, було б розумно мені відповісти взаємністю. Я вдячна тобі та бажаю, щоб ти взяв це.","","",""
"Darren","Nyx_","0051","Nyx_0051","","","","Я не в змозі прийняти таке ласкаве підношення, дороге дитя, хіба що ти візьмеш цю невеличку дрібничку, натомість?","","",""
"Integrated","Nyx_","0052","Nyx_0052","","","","Гмм.","","",""
"Integrated","Nyx_","0053","Nyx_0053","","","","Хааааах.","","",""
