"Orpheus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Orpheus_","0034","Orpheus_0034","","","","Можливо, пісня буде вдалою в такий час?","","",""
"Integrated","Orpheus_","0035","Orpheus_0035","","","","Чи можу я тебе зацікавити однією зі своїх пісень?","","",""
"Integrated","Orpheus_","0036","Orpheus_0036","","","","Що я можу зробити для тебе, мій друже?","","",""
"Integrated","Orpheus_","0037","Orpheus_0037","","","","Чи є пісня, яку б ти хотів почути?","","",""
"Integrated","Orpheus_","0038","Orpheus_0038","","","","Як щодо коротенької пісні, ти ж не проти?","","",""
"Integrated","Orpheus_","0039","Orpheus_0039","","","","Я твій смиренний придворний музикант, Загрею.","","",""
"To Be Integrated","Orpheus_","0040","Orpheus_0040","","","","Можливо тобі трішки полегшає, якщо я заграю...!","","",""
"Integrated","Orpheus_","0041","Orpheus_0041","","","","Гаразд, мені ця подобається.","","",""
"Integrated","Orpheus_","0042","Orpheus_0042","","","","Ну звичайно, гаразд.","","",""
"Integrated","Orpheus_","0043","Orpheus_0043","","","","Ну, тоді гаразд.","","",""
"Integrated","Orpheus_","0044","Orpheus_0044","","","","Добре, розпочнемо, мій друже!","","",""
"Integrated","Orpheus_","0045","Orpheus_0045","","","","Добре, мені ця подобається!","","",""
"Integrated","Orpheus_","0046","Orpheus_0046","","","","Я очікував, що ти це скажеш.","","",""
"Integrated","Orpheus_","0047","Orpheus_0047","","","","Тоді ще раз, я гадаю?","","",""
"Integrated","Orpheus_","0048","Orpheus_0048","","","","Тобі ця подобається, еге ж?","","",""
"Integrated","Orpheus_","0049","Orpheus_0049","","","","Радий прислужитися.","","",""
"Integrated","Orpheus_","0050","Orpheus_0050","","","","Чом би й ні!","","",""
"Integrated","Orpheus_","0060","Orpheus_0060","","","","Привіт...!","","",""
"Integrated","Orpheus_","0061","Orpheus_0061","","","","Привіт...","","",""
"Integrated","Orpheus_","0062","Orpheus_0062","","","","Гмм.","","",""
"Integrated","Orpheus_","0063","Orpheus_0063","","","","Ах.","","",""
"Integrated","Orpheus_","0064","Orpheus_0064","","","","Ох, ммм, привіт.","","",""
"Integrated","Orpheus_","0065","Orpheus_0065","","","","Вітання.","","",""
"Integrated","Orpheus_","0091","Orpheus_0091","","","","Загрею.","","",""
"Integrated","Orpheus_","0092","Orpheus_0092","","","","Загрею?","","",""
"Integrated","Orpheus_","0093","Orpheus_0093","","","","Привіт мій друже.","","",""
"Integrated","Orpheus_","0094","Orpheus_0094","","","","Привіт друже.","","",""
"Integrated","Orpheus_","0095","Orpheus_0095","","","","Вітання.","","",""
"Integrated","Orpheus_","0177","Orpheus_0177","","","","Якщо ти наполягаєш, мій друже.","","",""
"Integrated","Orpheus_","0144","Orpheus_0144","","","","Дякую. Так і буде... так і буде.","","",""
"Integrated","Orpheus_","0156","Orpheus_0156","","","","Ой-йой...","","",""
"Integrated","Orpheus_","0157","Orpheus_0157","","","","Відома майстерність Дедала...","","",""
"Integrated","Orpheus_","0158","Orpheus_0158","","","","Моя музична стійка...","","",""
"Integrated","Orpheus_","0159","Orpheus_0159","","","","Мойри, упасіть...","","",""
"Integrated","Orpheus_","0160","Orpheus_0160","","","","Дар пісні...","","",""
"Integrated","Orpheus_","0161","Orpheus_0161","","","","Пісня повертається до мене...","","",""
"Integrated","Orpheus_","0162","Orpheus_0162","","","","Музика розбурхується у моїй пам'яті...","","",""
"Integrated","Orpheus_","0163","Orpheus_0163","","","","Натхнення вдарило?","","",""
"Integrated","Orpheus_","0164","Orpheus_0164","","","","В ім'я моєї музи...","","",""
"Integrated","Orpheus_","0165","Orpheus_0165","","","","Ще одна пісня...","","",""
"Integrated","Orpheus_","0166","Orpheus_0166","","","","Пісня...","","",""
"Integrated","Orpheus_","0167","Orpheus_0167","","","","Ще один спогад...","","",""
"Integrated","Orpheus_","0168","Orpheus_0168","","","","Я згадую...","","",""
"Integrated","Orpheus_","0169","Orpheus_0169","","","","Як чудово.","","",""
"Integrated","Orpheus_","0170","Orpheus_0170","","","","Гарний вибір.","","",""
"Integrated","Orpheus_","0171","Orpheus_0171","","","","Припала до душі, еге ж?","","",""
"Integrated","Orpheus_","0172","Orpheus_0172","","","","О, ця.","","",""
"Integrated","Orpheus_","0173","Orpheus_0173","","","","Ну тоді ця.","","",""
"Integrated","Orpheus_","0174","Orpheus_0174","","","","Ах, так.","","",""
"Integrated","Orpheus_","0175","Orpheus_0175","","","","О, дійсно.","","",""
"Integrated","Orpheus_","0176","Orpheus_0176","","","","Це змушує мене думати про неї.","","",""
"Integrated","Orpheus_","0177","Orpheus_0177","","","","Якщо ти наполягаєш, мій друже.","","",""
"Darren","Orpheus_","0211","Orpheus_0211","","","","Я не знаю, як по іншому, мій друже.","","",""
"Darren","Orpheus_","0214","Orpheus_0214","","","","Звісно, мій друже.","","",""
"Integrated","Orpheus_","0220","Orpheus_0220","","","","Для мене це майже все, мій друже.","","",""
"Integrated","Orpheus_","0235","Orpheus_0235","","","","Мій друже?","","",""
"Integrated","Orpheus_","0236","Orpheus_0236","","","","Це робить співи набагато тяжчими, мій друже.","","",""
"Integrated","Orpheus_","0237","Orpheus_0237","","","","Перепрошую, Загрею.","","",""
"Integrated","Orpheus_","0238","Orpheus_0238","","","","Чи я тебе чимось прогнівив?","","",""
"Integrated","Orpheus_","0239","Orpheus_0239","","","","Я прийняв рішення ніколи не битись, мій друже.","","",""
"Integrated","Orpheus_","0240","Orpheus_0240","","","","Моє поле битви - пісні, мій друже.","","",""
"Integrated","Orpheus_","0241","Orpheus_0241","","","","Благаю, Загрею.","","",""
"Integrated","Orpheus_","0242","Orpheus_0242","","","","Я тут намагаюсь поспівати, мій друже!","","",""
"Integrated","Orpheus_","0259","Orpheus_0259","","","","Дуже в цьому сумніваюсь, ні.","","",""
"Integrated","Orpheus_","0260","Orpheus_0260","","","","Я про це подумаю, напевно.","","",""
