"ZagreusField","ID","ID","ID","","","","Line","","","Notes by DK"
"Integrated","ZagreusField_","0002","ZagreusField_0002a","","","","Я цього не планував.","","",""
"Integrated","ZagreusField_","0003","ZagreusField_0003","","","","Ні. Нізащо у світі.","","",""
"Integrated","ZagreusField_","0004","ZagreusField_0004","","","","Ти зазнав невдачі. Зі мною цього не станеться.","","",""
"Integrated","ZagreusField_","0005","ZagreusField_0005","","","","Я не залишусь. Навіть заради нього.","","",""
"Integrated","ZagreusField_","0006","ZagreusField_0006","","","","Я тобі покажу.","","",""
"Integrated","ZagreusField_","0007","ZagreusField_0007","","","","Потрібно бути обережнішим.","","",""
"Integrated","ZagreusField_","0008","ZagreusField_0008b","","","","Що це за життя, без краплини болю.","","",""
"Integrated","ZagreusField_","0009","ZagreusField_0009","","","","Геть з моєї голови.","","",""
"Integrated","ZagreusField_","0010","ZagreusField_0010","","","","Страх для слабких.","","",""
"Integrated","ZagreusField_","0011","ZagreusField_0011","","","","Прощавай, Батьку.","","",""
"Greg","ZagreusField_","0012","ZagreusField_0012","","","","Побачимо.","","",""
"Integrated","ZagreusField_","0013","ZagreusField_0013","","","","Я забираюся звідси.","","",""
"Integrated","ZagreusField_","0014","ZagreusField_0014","","","","Відійди.","","",""
"Integrated","ZagreusField_","0015","ZagreusField_0015","","","","Тобі слід було слухати.","","",""
"Integrated","ZagreusField_","0016","ZagreusField_0016","","","","Чорт тебе забирай.","","",""
"Integrated","ZagreusField_","0017","ZagreusField_0017","","","","Більше не переходь мені дорогу.","","",""
"Integrated","ZagreusField_","0018","ZagreusField_0018","","","","Знову шукаєш смерті?","","",""
"Integrated","ZagreusField_","0019","ZagreusField_0019","","","","Ти сам напросився.","","",""
"Integrated","ZagreusField_","0020","ZagreusField_0020","","","","Геть з дороги.","","",""
"Integrated","ZagreusField_","0021","ZagreusField_0021","","","","Вам мене не зупинити.","","",""
"Integrated","ZagreusField_","0022","ZagreusField_0022","","","","Підходьте та спробуйте.","","",""
"Integrated","ZagreusField_","0023","ZagreusField_0023","","","","Бісові дурні.","","",""
"Integrated","ZagreusField_","0024","ZagreusField_0024","","","","Відступи, або страждатимеш.","","",""
