"ZagreusHome","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK",""
"Integrated","ZagreusHome_","0002","ZagreusHome_0002a","","","","Я вдома...","","","",""
"Integrated","ZagreusHome_","0003","ZagreusHome_0003c","","","","Я вдома!","","","",""
"Integrated","ZagreusHome_","0004","ZagreusHome_0004","","","","Батьку...?","","","",""
"Integrated","ZagreusHome_","0005","ZagreusHome_0005a","","","","Я повернувся. Знову.","","","",""
"Integrated","ZagreusHome_","0006","ZagreusHome_0006","","","","Аа, отже, хтось за мною сумував...?","","","",""
"Integrated","ZagreusHome_","0007","ZagreusHome_0007b","","","","Знову повернувся.","","","",""
"Integrated","ZagreusHome_","0008","ZagreusHome_0008a","","","","Це було боляче.","","","",""
"Integrated","ZagreusHome_","0009","ZagreusHome_0009","","","","<Сміх>","","","",""
"Integrated","ZagreusHome_","0010","ZagreusHome_0010b","","","","Як вийшло на цей раз.","","","",""
"Integrated","ZagreusHome_","0011","ZagreusHome_0011a","","","","Цього разу не так вже й погано.","","","",""
"Integrated","ZagreusHome_","0012","ZagreusHome_0012d","","","","Могло бути й краще.","","","",""
"Integrated","ZagreusHome_","0014","ZagreusHome_0014","","","","Гарно поговорили...? Гарно поговорили.","","","",""
"Unused","ZagreusHome_","0016","ZagreusHome_0016b","","","","Не дивно, що ти їм не подобаєшся.","","","",""
"Integrated","ZagreusHome_","0018","ZagreusHome_0018","","","","Ох, обов'язково.","","","",""
"Unused","ZagreusHome_","0020","ZagreusHome_0020","","","","Ти навчив мене всьому, що я знаю. Крім того, як за себе постояти, цим я завдячую Ахіллесу.","","","",""
"Unused","ZagreusHome_","0023","ZagreusHome_0023","","","","Хотілось би мені побачити твоє обличчя в той момент.","","","",""
"Unused","ZagreusHome_","0026","ZagreusHome_0026","","","","Принаймні йому подобається пес.","","","",""
"Unused","ZagreusHome_","0030","ZagreusHome_0030","","","","Він міцно спить. Скільки він не спав...? Хай там як, я мушу йти.","","","",""
"Integrated","ZagreusHome_","0031","ZagreusHome_0031","","","","Наглядай за батьком, хлопчику. Не дозволяй йому псувати всім настрій.","","","",""
"Integrated","ZagreusHome_","0033","ZagreusHome_0033","","","","Добре, ще раз.","","","",""
"Integrated","ZagreusHome_","0034","ZagreusHome_0034","","","","Готовий, як ніколи.","","","",""
"Integrated","ZagreusHome_","0035","ZagreusHome_0035","","","","Час йти.","","","",""
"Integrated","ZagreusHome_","0036","ZagreusHome_0036","","","","Марно.","","","",""
"Integrated","ZagreusHome_","0037","ZagreusHome_0037","","","","Замкнено.","","","",""
"Integrated","ZagreusHome_","0038","ZagreusHome_0038","","","","Не виходить.","","","",""
"Integrated","ZagreusHome_","0039","ZagreusHome_0039","","","","Краще не буду.","","","",""
"Integrated","ZagreusHome_","0040","ZagreusHome_0040","","","","Не відчиняється.","","","",""
"Integrated","ZagreusHome_","0041","ZagreusHome_0041","","","","У жодному разі.","","","",""
"Integrated","ZagreusHome_","0042","ZagreusHome_0042a","","","","Гей, Кімнато, я повернувся.","","","",""
"Integrated","ZagreusHome_","0043","ZagreusHome_0043","","","","<Зітхає.>","","","",""
"Integrated","ZagreusHome_","0044","ZagreusHome_0044","","","","Гей, Кімнато.","","","",""
"Integrated","ZagreusHome_","0045","ZagreusHome_0045","","","","Я повернувся, Кімнато, сумувала за мною?","","","",""
"Integrated","ZagreusHome_","0046","ZagreusHome_0046","","","","Боги...","","","",""
"Integrated","ZagreusHome_","0047","ZagreusHome_0047","","","","Що мені тепер робити.","","","",""
"Integrated","ZagreusHome_","0048","ZagreusHome_0048","","","","Я ще заслужу твою прихильність.","","","",""
"Integrated","ZagreusHome_","0049","ZagreusHome_0049","","","","Оце вже інша розмова.","","","",""
"Integrated","ZagreusHome_","0050","ZagreusHome_0050","","","","Дуже дякую.","","","",""
"Integrated","ZagreusHome_","0051","ZagreusHome_0051","","","","Дяка богам.","","","",""
"Integrated","ZagreusHome_","0052","ZagreusHome_0052","","","","Ну що ж, спробуємо.","","","",""
"Integrated","ZagreusHome_","0053","ZagreusHome_0053","","","","Звісно, чому б ні.","","","",""
"Integrated","ZagreusHome_","0054","ZagreusHome_0054","","","","Що поганого може статися?","","Note: Used in Field context","",""
"Integrated","ZagreusHome_","0055","ZagreusHome_0055","","","","Ех, чом би й ні.","","","",""
"Integrated","ZagreusHome_","0056","ZagreusHome_0056","","","","Подивимося.","","","",""
"Integrated","ZagreusHome_","0057","ZagreusHome_0057","","","","Поглянемо сюди.","","","",""
"Integrated","ZagreusHome_","0058","ZagreusHome_0058","","","","Хмм.","","","",""
"Integrated","ZagreusHome_","0059","ZagreusHome_0059","","","","Що це у нас тут.","","","",""
"Integrated","ZagreusHome_","0060","ZagreusHome_0060","","","","Погляньте, що я знайшов.","","","",""
"Integrated","ZagreusHome_","0061","ZagreusHome_0061","","","","Ау...","","","",""
"Integrated","ZagreusHome_","0062","ZagreusHome_0062","","","","Егххх...","","","",""
"Integrated","ZagreusHome_","0063","ZagreusHome_0063","","","","Ауггх...","","","",""
"Integrated","ZagreusHome_","0064","ZagreusHome_0064","","","","Ер, ну тоді добре.","","","",""
"Integrated","ZagreusHome_","0065","ZagreusHome_0065","","","","Ургх, сюрприз...!","","","",""
"Integrated","ZagreusHome_","0066","ZagreusHome_0066","","","","Ой та ну, все не так вже й погано, правда?","","","",""
"Integrated","ZagreusHome_","0067","ZagreusHome_0067","","","","Мамо... цікаво... чи ти мене згадаєш?","","","",""
"Integrated","ZagreusHome_","0069","ZagreusHome_0069","","","","Готовий до зустрічі з Підземним Царством...","","","",""
"Integrated","ZagreusHome_","0070","ZagreusHome_0070","","","","Як я виглядаю...","","","",""
"Integrated","ZagreusHome_","0071","ZagreusHome_0071","","","","Здається, варто б мені поголитись...","","","",""
"Integrated","ZagreusHome_","0072","ZagreusHome_0072","","","","Привіт красунчику.","","","",""
"Integrated","ZagreusHome_","0073","ZagreusHome_0073","","","","Гаразд, я готовий.","","","",""
"Integrated","ZagreusHome_","0074","ZagreusHome_0074","","","","Все готово.","","","",""
"Integrated","ZagreusHome_","0075","ZagreusHome_0075","","","","Готовий вирушати.","","","",""
"Integrated","ZagreusHome_","0076","ZagreusHome_0076","","","","Відмінно.","","","",""
"Integrated","ZagreusHome_","0077","ZagreusHome_0077","","","","Немає часу на відпочинок.","","","",""
"Integrated","ZagreusHome_","0078","ZagreusHome_0078","","","","Якщо я сяду, я не захочу вставати.","","","",""
"Integrated","ZagreusHome_","0079","ZagreusHome_0079","","","","Не так зручно, як здається.","","","",""
"Unused","ZagreusHome_","0081","ZagreusHome_0081","","","","...Це найвеселіше, що я чув від нього.","","","",""
"Integrated","ZagreusHome_","0083","ZagreusHome_0083","","","","Отже, приятелю, ти знаєш Еврідіку? Ну, так вже вийшло, що я випадково натрапив на неї там. Вона попросила передати тобі, що завжди чує твій спів, незалежно від того, як далеко ви один від одного. Мушу сказати, що це виглядало досить мило з її боку.","","","",""
"Integrated","ZagreusHome_","0085","ZagreusHome_0085","","","","Бити ворогів об стіни. Слушна порада, як завжди, Скеллі.","","","",""
"Integrated","ZagreusHome_","0086","ZagreusHome_0086","","","","Шукайте ідеальну нагоду, щоб дати волю своєму страхітливому темпераменту. Є.","","","",""
