"ZagreusScratch","ID","ID","ID","","","","Line","","",""
"Integrated","ZagreusScratch_","0002","ZagreusScratch_0002b","","","","Помовч, старий.","","",""
"Integrated","ZagreusScratch_","0003","ZagreusScratch_0003","","","","Чекай на мене, мамо. Я скоро буду.","","",""
"Integrated","ZagreusScratch_","0004","ZagreusScratch_0004","","","","До дідька це місце.","","",""
"Integrated","ZagreusScratch_","0005","ZagreusScratch_0005","","","","Я йду. Спробуй зупинити мене.","","",""
"Integrated","ZagreusScratch_","0006","ZagreusScratch_0006","","","","Ах-ха.","","",""
"Integrated","ZagreusScratch_","0007","ZagreusScratch_0007","","","","Дякувати богам.","","",""
"Integrated","ZagreusScratch_","0008","ZagreusScratch_0008","","","","Дякую, богине. Твоя сила об'єдналась з моєю... має бути файно.","","",""
"Integrated","ZagreusScratch_","0009","ZagreusScratch_0009b","","","","Ні...!","","",""
"Integrated","ZagreusScratch_","0010","ZagreusScratch_0010b","","","","Угггх... дідько.","","",""
"Integrated","ZagreusScratch_","0011","ZagreusScratch_0011b","","","","Я вдома...","","",""
"Integrated","ZagreusScratch_","0012","ZagreusScratch_0012b","","","","Ага, так, продовжуйте, не звертайте уваги...!","","",""
"Integrated","ZagreusScratch_","0016","ZagreusScratch_0016a","","","","Я це запам'ятаю, приятелю.","","",""
"Integrated","ZagreusScratch_","0020","ZagreusScratch_0020","","","","Тут нічого робити. Мушу йти.","","",""
"Integrated","ZagreusScratch_","0021","ZagreusScratch_0021a","","","","Ну що ж, час знову йти помирати.","","",""
"Integrated","ZagreusScratch_","0022","ZagreusScratch_0021b","","","","Ну що ж, час знову йти помирати.","","",""
"Integrated","ZagreusScratch_","0023","ZagreusScratch_0023","","","","Тут нічого робити.","","",""
"Integrated","ZagreusScratch_","0024","ZagreusScratch_0024","","","","Час іти.","","",""
"Integrated","ZagreusScratch_","0079","ZagreusScratch_0008ALT","","","","Дякую, богине.","","",""
